Breed	Age	Gender	Weight	ExpectedWeight	PctOfExpected	Label	IsolationForest_Score	IsolationForest_Flag	
Local Zebu	51	Female	412.7	278.6	148.1	Overweight	0.0743	Normal	
Sahiwal	61	Female	413	414.7	99.6	Normal	0.0704	Normal	
Sindhi Cross	55	Male	399.6	393.5	101.6	Normal	0.0027	Normal	
Sahiwal	53	Female	375.6	365.3	102.8	Normal	0.0827	Normal	
Holstein Cross	60	Male	537.9	543.9	98.9	Normal	-0.0144	Flagged - Potential Sickness	
Holstein Cross	43	Male	407.5	404.2	100.8	Normal	0.0348	Normal	
Brahman Cross	45	Female	349.3	349.1	100.1	Normal	0.0741	Normal	
Local Zebu	62	Female	463.2	332.2	139.4	Overweight	0.0607	Normal	
Sindhi Cross	41	Female	264.3	275.8	95.8	Normal	0.0673	Normal	
Local Zebu	57	Female	308.2	307.9	100.1	Normal	0.1345	Normal	
Brahman Cross	9	Male	121.2	113.8	106.5	Normal	-0.0075	Flagged - Unusual, Needs Review	
Sahiwal	10	Male	131.5	109.7	119.9	Normal	0.0193	Normal	
Brahman Cross	52	Female	411.3	396.9	103.6	Normal	0.0541	Normal	
Brahman Cross	63	Female	504.3	472	106.8	Normal	0.0189	Normal	
Sahiwal	23	Female	168.5	180	93.6	Normal	0.1009	Normal	
Brahman Cross	37	Female	182.5	294.5	62	Underweight	0.0616	Normal	
Sindhi Cross	21	Male	177.5	174.7	101.6	Normal	0.0177	Normal	
Pabna	42	Female	283.2	250.4	113.1	Normal	0.1215	Normal	
Local Zebu	23	Female	130	142.1	91.5	Normal	0.1359	Normal	
Sindhi Cross	62	Female	386.1	398.7	96.8	Normal	0.0545	Normal	
Sindhi Cross	46	Female	296.1	305.1	97.1	Normal	0.0702	Normal	
Pabna	43	Female	223.7	255.6	87.5	Normal	0.1221	Normal	
Sahiwal	28	Female	203	210.9	96.3	Normal	0.1074	Normal	
Local Zebu	31	Female	169.7	181.1	93.7	Normal	0.1396	Normal	
Pabna	52	Female	304.7	302.4	100.8	Normal	0.122	Normal	
Holstein Cross	22	Female	215.6	210.4	102.5	Normal	0.0824	Normal	
Red Chittagong	67	Female	361	332.8	108.5	Normal	0.0798	Normal	
Holstein Cross	15	Male	188.2	173.9	108.2	Normal	0.0289	Normal	
Local Zebu	65	Female	338.2	346.9	97.5	Normal	0.1199	Normal	
Holstein Cross	29	Female	249.3	262.8	94.9	Normal	0.082	Normal	
Pabna	13	Female	107	99.6	107.4	Normal	0.0987	Normal	
Red Chittagong	26	Male	141.1	160.9	87.7	Normal	0.062	Normal	
Red Chittagong	72	Female	383.1	355.6	107.7	Normal	0.0385	Normal	
Local Zebu	41	Male	270.6	252.9	107	Normal	0.097	Normal	
Pabna	70	Female	389	396	98.2	Normal	0.0595	Normal	
Brahman Cross	27	Female	200.6	226.3	88.6	Normal	0.0803	Normal	
Brahman Cross	11	Female	84.6	117.1	72.2	Underweight	0.0382	Normal	
Brahman Cross	32	Female	258.7	260.4	99.3	Normal	0.0752	Normal	
Brahman Cross	69	Female	531.5	512.9	103.6	Normal	-0.006	Flagged - Possible Pregnancy or Overweight	
Brahman Cross	44	Female	318.4	342.3	93	Normal	0.0744	Normal	
Sahiwal	44	Female	300.7	309.7	97.1	Normal	0.0968	Normal	
Local Zebu	59	Female	317.7	317.6	100	Normal	0.131	Normal	
Brahman Cross	46	Female	356.7	356	100.2	Normal	0.0727	Normal	
Sindhi Cross	50	Female	321.7	328.5	97.9	Normal	0.0564	Normal	
Red Chittagong	19	Male	135.2	125.9	107.4	Normal	0.0618	Normal	
Local Zebu	37	Male	326.6	231.4	141.1	Overweight	0.0664	Normal	
Red Chittagong	26	Female	144.2	146.3	98.6	Normal	0.1059	Normal	
Sahiwal	30	Female	225.1	223.2	100.9	Normal	0.1052	Normal	
Pabna	69	Female	398.5	390.8	102	Normal	0.0636	Normal	
Local Zebu	56	Female	313.7	303	103.5	Normal	0.1387	Normal	
Local Zebu	51	Male	289.6	306.5	94.5	Normal	0.0954	Normal	
Brahman Cross	66	Male	271.9	541.7	50.2	Underweight	-0.0213	Flagged - Potential Sickness	
Local Zebu	52	Female	302.7	283.5	106.8	Normal	0.1411	Normal	
Red Chittagong	30	Female	169.5	164.5	103	Normal	0.1194	Normal	
Red Chittagong	63	Female	303.4	314.6	96.4	Normal	0.0975	Normal	
Sindhi Cross	21	Male	198	174.7	113.3	Normal	0.0161	Normal	
Red Chittagong	49	Female	252.7	251	100.7	Normal	0.1139	Normal	
Local Zebu	71	Female	247.5	376.1	65.8	Underweight	0.046	Normal	
Holstein Cross	72	Female	585.2	584.2	100.2	Normal	-0.0396	Flagged - Possible Pregnancy or Overweight	
Pabna	47	Female	307.3	276.4	111.2	Normal	0.1163	Normal	
Red Chittagong	44	Female	254.5	228.2	111.5	Normal	0.1244	Normal	
Pabna	68	Female	381.9	385.6	99	Normal	0.0786	Normal	
Holstein Cross	53	Male	501	486.4	103	Normal	0.0002	Normal	
Red Chittagong	45	Female	242.4	232.7	104.2	Normal	0.1242	Normal	
Sahiwal	9	Female	114.1	93.6	121.9	Overweight	0.0565	Normal	
Brahman Cross	35	Female	266.4	280.9	94.8	Normal	0.0746	Normal	
Local Zebu	54	Male	332.9	322.6	103.2	Normal	0.0929	Normal	
Local Zebu	20	Male	156.1	140.2	111.3	Normal	0.0885	Normal	
Red Chittagong	58	Female	265.5	291.9	91	Normal	0.0925	Normal	
Sahiwal	66	Female	427.8	445.6	96	Normal	0.0618	Normal	
Local Zebu	23	Female	111.5	142.1	78.5	Underweight	0.1226	Normal	
Sindhi Cross	67	Female	423.9	428	99	Normal	0.0386	Normal	
Local Zebu	49	Female	279.6	268.9	104	Normal	0.1381	Normal	
Holstein Cross	39	Female	360.1	337.5	106.7	Normal	0.0626	Normal	
Local Zebu	44	Male	270.1	269	100.4	Normal	0.0993	Normal	
Red Chittagong	42	Female	243.5	219.1	111.1	Normal	0.127	Normal	
Pabna	67	Male	397.7	418.4	95.1	Normal	0.0388	Normal	
Sahiwal	41	Male	294.7	320.3	92	Normal	0.0553	Normal	
Pabna	56	Female	322.4	323.2	99.8	Normal	0.1172	Normal	
Holstein Cross	43	Male	409.9	404.2	101.4	Normal	0.0348	Normal	
Local Zebu	62	Female	331.8	332.2	99.9	Normal	0.1277	Normal	
Local Zebu	40	Female	194	225	86.2	Normal	0.1297	Normal	
Local Zebu	36	Male	224.7	226	99.4	Normal	0.0921	Normal	
Pabna	35	Male	215.8	235.4	91.7	Normal	0.0688	Normal	
Sahiwal	18	Female	159.2	149.2	106.7	Normal	0.0948	Normal	
Sindhi Cross	26	Female	193.6	188.1	102.9	Normal	0.0661	Normal	
Holstein Cross	67	Female	532.7	546.8	97.4	Normal	0.0094	Normal	
Red Chittagong	42	Female	211.4	219.1	96.5	Normal	0.1181	Normal	
Local Zebu	35	Female	184.7	200.6	92.1	Normal	0.1359	Normal	
Sindhi Cross	28	Female	198.9	199.8	99.5	Normal	0.0637	Normal	
Sindhi Cross	10	Female	108.8	94.5	115.1	Normal	0.0261	Normal	
Pabna	43	Female	319.5	255.6	125	Overweight	0.105	Normal	
Sindhi Cross	42	Female	289.3	281.7	102.7	Normal	0.072	Normal	
Pabna	23	Female	143.6	151.6	94.7	Normal	0.1205	Normal	
Local Zebu	20	Male	128.4	140.2	91.6	Normal	0.0784	Normal	
Brahman Cross	29	Male	262.3	263.9	99.4	Normal	0.0226	Normal	
Red Chittagong	30	Male	165.4	181	91.4	Normal	0.0675	Normal	
Sindhi Cross	60	Female	378.7	387	97.9	Normal	0.0522	Normal	
Brahman Cross	29	Female	222	239.9	92.5	Normal	0.0822	Normal	
Sindhi Cross	6	Male	107.7	78.2	137.7	Overweight	-0.0283	Flagged - Unusual, Needs Review	
Sahiwal	48	Male	368.4	367.8	100.2	Normal	0.037	Normal	
Local Zebu	52	Female	273	283.5	96.3	Normal	0.1413	Normal	
Local Zebu	45	Male	277.5	274.3	101.2	Normal	0.1011	Normal	
Sindhi Cross	45	Female	297.6	299.2	99.5	Normal	0.0708	Normal	
Sindhi Cross	53	Female	342.7	346	99	Normal	0.0549	Normal	
Local Zebu	25	Female	161.1	151.9	106.1	Normal	0.1457	Normal	
Red Chittagong	66	Female	339.7	328.3	103.5	Normal	0.0863	Normal	
Holstein Cross	37	Female	314.6	322.6	97.5	Normal	0.0709	Normal	
Sahiwal	63	Female	418.4	427	98	Normal	0.0729	Normal	
Sindhi Cross	20	Male	164.2	168.3	97.6	Normal	0.0175	Normal	
Pabna	25	Male	143.7	178.2	80.6	Normal	0.0597	Normal	
Pabna	32	Female	175.7	198.4	88.6	Normal	0.1204	Normal	
Sindhi Cross	63	Female	425.1	404.6	105.1	Normal	0.0505	Normal	
Pabna	64	Female	389.5	364.8	106.8	Normal	0.0881	Normal	
Brahman Cross	45	Female	345.4	349.1	98.9	Normal	0.075	Normal	
Holstein Cross	33	Female	154.1	292.7	52.6	Underweight	0.0727	Normal	
Sindhi Cross	14	Female	122.6	117.9	104	Normal	0.0476	Normal	
Red Chittagong	29	Female	206.1	160	128.8	Overweight	0.1177	Normal	
Sindhi Cross	59	Female	397.9	381.2	104.4	Normal	0.0505	Normal	
Pabna	54	Female	310.9	312.8	99.4	Normal	0.1179	Normal	
Brahman Cross	23	Female	184.6	199	92.8	Normal	0.0725	Normal	
Local Zebu	56	Female	278.9	303	92	Normal	0.129	Normal	
Local Zebu	6	Female	62.3	59.2	105.2	Normal	0.0509	Normal	
Pabna	60	Female	332.7	344	96.7	Normal	0.1111	Normal	
Local Zebu	50	Male	279.8	301.1	92.9	Normal	0.093	Normal	
Holstein Cross	20	Male	205.4	215	95.5	Normal	0.04	Normal	
Brahman Cross	8	Male	90	106.3	84.7	Normal	-0.0195	Flagged - Potential Sickness	
Brahman Cross	63	Female	497.3	472	105.4	Normal	0.0225	Normal	
Local Zebu	11	Female	96.8	83.6	115.8	Normal	0.1149	Normal	
Local Zebu	13	Male	102.6	102.7	99.9	Normal	0.0643	Normal	
Local Zebu	46	Female	276.4	254.2	108.7	Normal	0.1417	Normal	
Holstein Cross	36	Male	347.8	346.6	100.3	Normal	0.0298	Normal	
Brahman Cross	34	Female	261.1	274	95.3	Normal	0.0749	Normal	
Brahman Cross	28	Female	255.9	233.1	109.8	Normal	0.07	Normal	
Pabna	50	Female	300.1	292	102.8	Normal	0.1202	Normal	
Sahiwal	46	Female	306.5	322	95.2	Normal	0.0985	Normal	
Red Chittagong	29	Female	157.1	160	98.2	Normal	0.113	Normal	
Holstein Cross	44	Female	361.8	374.9	96.5	Normal	0.073	Normal	
Pabna	13	Female	78.9	99.6	79.2	Underweight	0.0833	Normal	
Brahman Cross	23	Female	212.9	199	107	Normal	0.0729	Normal	
Red Chittagong	16	Female	129.4	100.8	128.4	Overweight	0.1016	Normal	
Local Zebu	30	Male	172.9	193.9	89.2	Normal	0.0815	Normal	
Brahman Cross	11	Female	125.5	117.1	107.2	Normal	0.0544	Normal	
Sahiwal	33	Female	232	241.8	95.9	Normal	0.1082	Normal	
Red Chittagong	7	Male	58.5	65.8	88.9	Normal	-0.0115	Flagged - Potential Sickness	
Sahiwal	67	Female	442.8	451.7	98	Normal	0.0505	Normal	
Sahiwal	56	Female	370.8	383.8	96.6	Normal	0.0834	Normal	
Sahiwal	54	Female	372.2	371.4	100.2	Normal	0.0844	Normal	
Red Chittagong	52	Female	252.1	264.6	95.3	Normal	0.1103	Normal	
Local Zebu	66	Female	355.8	351.8	101.1	Normal	0.1115	Normal	
Local Zebu	46	Female	253.5	254.2	99.7	Normal	0.1387	Normal	
Local Zebu	24	Male	158.1	161.7	97.8	Normal	0.0879	Normal	
Brahman Cross	59	Male	475.5	489.1	97.2	Normal	0.0001	Normal	
Local Zebu	37	Female	201.7	210.4	95.9	Normal	0.1392	Normal	
Sahiwal	38	Female	284	272.6	104.2	Normal	0.0935	Normal	
Sahiwal	68	Female	465.4	457.9	101.6	Normal	0.0331	Normal	
Red Chittagong	23	Female	118	132.6	89	Normal	0.0989	Normal	
Sindhi Cross	13	Female	113.5	112	101.3	Normal	0.0419	Normal	
Local Zebu	12	Female	99.8	88.5	112.8	Normal	0.1211	Normal	
Holstein Cross	35	Male	313.3	338.4	92.6	Normal	0.0407	Normal	
Local Zebu	64	Female	350.2	342	102.4	Normal	0.1221	Normal	
Brahman Cross	67	Female	280.9	499.3	56.3	Underweight	0.0221	Normal	
Local Zebu	41	Female	238.4	229.9	103.7	Normal	0.1396	Normal	
Pabna	61	Female	337.8	349.2	96.7	Normal	0.11	Normal	
Local Zebu	18	Female	90.7	117.8	77	Underweight	0.1094	Normal	
Brahman Cross	38	Female	276.9	301.4	91.9	Normal	0.076	Normal	
Red Chittagong	53	Female	269.9	269.2	100.3	Normal	0.1101	Normal	
Local Zebu	34	Male	219.2	215.3	101.8	Normal	0.0924	Normal	
Local Zebu	10	Male	73.1	86.6	84.4	Normal	0.032	Normal	
Brahman Cross	13	Female	140.3	130.7	107.3	Normal	0.0609	Normal	
Local Zebu	61	Female	302.5	327.4	92.4	Normal	0.1208	Normal	
Sindhi Cross	18	Female	140.3	141.3	99.3	Normal	0.0561	Normal	
Local Zebu	66	Male	368.8	386.9	95.3	Normal	0.0547	Normal	
Sahiwal	41	Female	281.4	291.2	96.6	Normal	0.1005	Normal	
Local Zebu	46	Male	280.4	279.7	100.3	Normal	0.1006	Normal	
Local Zebu	56	Female	290.1	303	95.7	Normal	0.1342	Normal	
Brahman Cross	55	Female	411.6	417.4	98.6	Normal	0.0514	Normal	
Red Chittagong	23	Female	147.7	132.6	111.4	Normal	0.1135	Normal	
Local Zebu	50	Male	292.5	301.1	97.1	Normal	0.094	Normal	
Holstein Cross	49	Female	424.8	412.3	103	Normal	0.051	Normal	
Brahman Cross	47	Male	382.1	399.1	95.7	Normal	0.0284	Normal	
Sindhi Cross	68	Male	485.1	477.2	101.7	Normal	-0.0333	Flagged - Unusual, Needs Review	
Red Chittagong	29	Female	181.6	160	113.5	Normal	0.1202	Normal	
Local Zebu	43	Female	202.6	239.6	84.6	Normal	0.1334	Normal	
Local Zebu	25	Female	139.9	151.9	92.1	Normal	0.1397	Normal	
Local Zebu	55	Male	336.6	327.9	102.7	Normal	0.0942	Normal	
Local Zebu	45	Female	246.3	249.4	98.8	Normal	0.1384	Normal	
Local Zebu	17	Male	129.7	124.2	104.4	Normal	0.0793	Normal	
Brahman Cross	58	Male	472.6	481.6	98.1	Normal	0.001	Normal	
Brahman Cross	47	Female	233.1	362.8	64.3	Underweight	0.0646	Normal	
Sahiwal	37	Female	264.1	266.5	99.1	Normal	0.0985	Normal	
Red Chittagong	23	Male	163.4	145.9	112	Normal	0.0772	Normal	
Local Zebu	27	Female	165.4	161.6	102.4	Normal	0.141	Normal	
Pabna	15	Female	115.1	110	104.6	Normal	0.1089	Normal	
Sahiwal	69	Female	457.9	464.1	98.7	Normal	0.036	Normal	
Local Zebu	44	Male	261.6	269	97.2	Normal	0.0983	Normal	
Holstein Cross	54	Female	443.2	449.6	98.6	Normal	0.0442	Normal	
Red Chittagong	23	Male	151.8	145.9	104	Normal	0.0761	Normal	
Sahiwal	67	Male	490.6	496.9	98.7	Normal	-0.0135	Flagged - Potential Sickness	
Sindhi Cross	43	Female	291.9	287.6	101.5	Normal	0.0705	Normal	
Sindhi Cross	37	Male	308.8	277.7	111.2	Normal	0.0116	Normal	
Sahiwal	52	Male	408.1	395	103.3	Normal	0.0372	Normal	
Brahman Cross	29	Female	235	239.9	98	Normal	0.081	Normal	
Sindhi Cross	65	Female	434.3	416.2	104.3	Normal	0.0387	Normal	
Sahiwal	14	Female	118.3	124.4	95.1	Normal	0.0834	Normal	
Red Chittagong	69	Male	345.6	376.1	91.9	Normal	0.017	Normal	
Local Zebu	25	Female	136.8	151.9	90.1	Normal	0.1367	Normal	
Local Zebu	67	Female	328.6	356.6	92.1	Normal	0.105	Normal	
Sindhi Cross	59	Female	375.9	381.2	98.6	Normal	0.0525	Normal	
Red Chittagong	16	Male	111.2	110.9	100.3	Normal	0.0487	Normal	
Brahman Cross	27	Female	369.4	226.3	163.2	Overweight	0.0182	Normal	
Red Chittagong	48	Female	251.3	246.4	102	Normal	0.1176	Normal	
Local Zebu	39	Male	238.9	242.1	98.7	Normal	0.0933	Normal	
Brahman Cross	34	Female	286.5	274	104.6	Normal	0.0627	Normal	
Sahiwal	70	Male	484.1	517.3	93.6	Normal	-0.0224	Flagged - Potential Sickness	
Pabna	43	Female	259.1	255.6	101.4	Normal	0.1256	Normal	
Local Zebu	24	Male	173.3	161.7	107.2	Normal	0.0892	Normal	
Sahiwal	72	Female	460.4	482.6	95.4	Normal	0.0114	Normal	
Pabna	63	Male	412.7	395.6	104.3	Normal	0.0424	Normal	
Holstein Cross	20	Male	220.1	215	102.4	Normal	0.0372	Normal	
Local Zebu	27	Female	155.4	161.6	96.2	Normal	0.1397	Normal	
Pabna	26	Male	193.4	183.9	105.2	Normal	0.0668	Normal	
Pabna	57	Female	362.5	328.4	110.4	Normal	0.0993	Normal	
Brahman Cross	56	Male	469.3	466.6	100.6	Normal	0.0071	Normal	
Local Zebu	60	Female	326.2	322.5	101.1	Normal	0.1317	Normal	
Local Zebu	14	Female	91.4	98.2	93.1	Normal	0.1182	Normal	
Pabna	52	Male	319.9	332.6	96.2	Normal	0.0733	Normal	
Local Zebu	68	Female	374	361.5	103.5	Normal	0.0911	Normal	
Brahman Cross	56	Female	411.4	424.2	97	Normal	0.0499	Normal	
Holstein Cross	28	Female	256.4	255.3	100.4	Normal	0.0793	Normal	
Red Chittagong	16	Female	93.6	100.8	92.9	Normal	0.0855	Normal	
Local Zebu	20	Male	147.4	140.2	105.1	Normal	0.0869	Normal	
Pabna	59	Female	343.8	338.8	101.5	Normal	0.1068	Normal	
Red Chittagong	68	Female	353	337.4	104.6	Normal	0.0758	Normal	
Brahman Cross	28	Female	225.4	233.1	96.7	Normal	0.0841	Normal	
Local Zebu	46	Female	250.2	254.2	98.4	Normal	0.1377	Normal	
Holstein Cross	7	Female	83.6	98.3	85	Normal	0.0477	Normal	
Red Chittagong	70	Female	339.8	346.5	98.1	Normal	0.0583	Normal	
Pabna	62	Female	360.1	354.4	101.6	Normal	0.1023	Normal	
Local Zebu	34	Male	226.7	215.3	105.3	Normal	0.0929	Normal	
Pabna	27	Female	158.6	172.4	92	Normal	0.1195	Normal	
Sahiwal	69	Female	477.1	464.1	102.8	Normal	0.0193	Normal	
Local Zebu	52	Female	303.8	283.5	107.2	Normal	0.141	Normal	
Sahiwal	62	Female	427.1	420.8	101.5	Normal	0.0675	Normal	
Local Zebu	37	Male	259.6	231.4	112.2	Normal	0.0912	Normal	
Pabna	50	Female	280.4	292	96	Normal	0.1205	Normal	
Holstein Cross	21	Female	184.3	203	90.8	Normal	0.0916	Normal	
Holstein Cross	50	Female	393.1	419.7	93.7	Normal	0.0661	Normal	
Red Chittagong	23	Female	155.1	132.6	117	Normal	0.1157	Normal	
Holstein Cross	50	Female	429.6	419.7	102.4	Normal	0.0477	Normal	
Local Zebu	43	Male	262.8	263.6	99.7	Normal	0.0986	Normal	
Holstein Cross	18	Male	202.8	198.6	102.1	Normal	0.034	Normal	
Red Chittagong	13	Female	70.3	87.1	80.7	Normal	0.0632	Normal	
Local Zebu	22	Male	187.7	151	124.3	Overweight	0.0878	Normal	
Holstein Cross	56	Female	466.5	464.6	100.4	Normal	0.0392	Normal	
Local Zebu	59	Female	319.3	317.6	100.5	Normal	0.131	Normal	
Sahiwal	17	Female	153.9	143	107.6	Normal	0.0932	Normal	
Sahiwal	53	Female	372.5	365.3	102	Normal	0.0845	Normal	
Brahman Cross	17	Female	161.4	158	102.2	Normal	0.0683	Normal	
Brahman Cross	51	Female	378.2	390.1	96.9	Normal	0.0651	Normal	
Red Chittagong	60	Female	308.1	301	102.4	Normal	0.1048	Normal	
Red Chittagong	42	Male	269.2	241	111.7	Normal	0.0795	Normal	
Brahman Cross	68	Female	526.3	506.1	104	Normal	0.0022	Normal	
Sahiwal	11	Male	140.4	116.5	120.5	Overweight	0.0265	Normal	
Pabna	21	Female	133.5	141.2	94.5	Normal	0.1161	Normal	
Pabna	60	Male	363.6	378.4	96.1	Normal	0.0604	Normal	
Local Zebu	44	Male	267.1	269	99.3	Normal	0.0993	Normal	
Local Zebu	52	Male	312.7	311.8	100.3	Normal	0.0961	Normal	
Sindhi Cross	27	Male	229.8	213.3	107.7	Normal	0.0155	Normal	
Sahiwal	35	Female	228.7	254.1	90	Normal	0.109	Normal	
Local Zebu	33	Female	213.8	190.9	112	Normal	0.1382	Normal	
Local Zebu	62	Male	363.1	365.5	99.3	Normal	0.0698	Normal	
Holstein Cross	60	Female	488.1	494.5	98.7	Normal	0.0341	Normal	
Local Zebu	17	Female	97.7	112.9	86.5	Normal	0.1198	Normal	
Red Chittagong	44	Male	226.2	251	90.1	Normal	0.0662	Normal	
Sahiwal	23	Female	192.4	180	106.9	Normal	0.1012	Normal	
Local Zebu	7	Female	65.2	64.1	101.7	Normal	0.0692	Normal	
Red Chittagong	33	Female	158.8	178.1	89.2	Normal	0.1084	Normal	
Red Chittagong	62	Female	290.7	310.1	93.7	Normal	0.0971	Normal	
Local Zebu	21	Female	127.3	132.4	96.1	Normal	0.1382	Normal	
Sindhi Cross	46	Female	330.1	305.1	108.2	Normal	0.0599	Normal	
Brahman Cross	37	Female	290.6	294.5	98.7	Normal	0.0688	Normal	
Brahman Cross	9	Female	80.9	103.4	78.2	Underweight	0.0299	Normal	
Red Chittagong	72	Female	351.9	355.6	99	Normal	0.0414	Normal	
Red Chittagong	12	Female	78.5	82.6	95	Normal	0.0748	Normal	
Local Zebu	55	Male	287.5	327.9	87.7	Normal	0.0884	Normal	
Brahman Cross	7	Female	89	89.8	99.1	Normal	0.0227	Normal	
Local Zebu	59	Female	314.2	317.6	98.9	Normal	0.1312	Normal	
Sahiwal	15	Male	154.1	143.7	107.2	Normal	0.0418	Normal	
Local Zebu	11	Female	111.4	83.6	133.3	Overweight	0.1175	Normal	
Red Chittagong	42	Female	236	219.1	107.7	Normal	0.1271	Normal	
Red Chittagong	57	Male	312.1	316.1	98.7	Normal	0.0599	Normal	
Brahman Cross	41	Male	337.4	354	95.3	Normal	0.0248	Normal	
Sindhi Cross	25	Female	220.9	182.2	121.2	Overweight	0.0565	Normal	
Brahman Cross	14	Male	152.2	151.3	100.6	Normal	0.0163	Normal	
Sindhi Cross	36	Male	271.5	271.3	100.1	Normal	0.023	Normal	
Pabna	64	Female	533.7	364.8	146.3	Overweight	0.0108	Normal	
Local Zebu	7	Female	67.1	64.1	104.7	Normal	0.0698	Normal	
Local Zebu	50	Female	271.6	273.8	99.2	Normal	0.1397	Normal	
Sahiwal	27	Female	196.1	204.7	95.8	Normal	0.1071	Normal	
Holstein Cross	21	Female	266.5	203	131.3	Overweight	0.06	Normal	
Local Zebu	15	Female	102.6	103.1	99.5	Normal	0.127	Normal	
Local Zebu	27	Female	153.5	161.6	95	Normal	0.1382	Normal	
Local Zebu	20	Male	129.6	140.2	92.4	Normal	0.0795	Normal	
Local Zebu	7	Male	72.1	70.5	102.3	Normal	0.0174	Normal	
Red Chittagong	25	Male	152.1	155.9	97.6	Normal	0.074	Normal	
Local Zebu	59	Male	371.9	349.4	106.4	Normal	0.0753	Normal	
Sindhi Cross	46	Male	295.8	335.6	88.1	Normal	0.0193	Normal	
Red Chittagong	70	Female	215.1	346.5	62.1	Underweight	0.0245	Normal	
Local Zebu	57	Male	357.4	338.7	105.5	Normal	0.0859	Normal	
Red Chittagong	45	Male	224.9	256	87.9	Normal	0.0644	Normal	
Local Zebu	31	Male	194.1	199.2	97.4	Normal	0.0863	Normal	
Sahiwal	37	Female	260.9	266.5	97.9	Normal	0.0995	Normal	
Pabna	31	Female	172.1	193.2	89.1	Normal	0.1247	Normal	
Sahiwal	25	Male	199.9	211.6	94.5	Normal	0.0574	Normal	
Local Zebu	50	Female	257.1	273.8	93.9	Normal	0.1343	Normal	
Local Zebu	48	Male	316.7	290.4	109.1	Normal	0.0934	Normal	
Holstein Cross	45	Male	434.6	420.6	103.3	Normal	0.0239	Normal	
Local Zebu	68	Female	380.6	361.5	105.3	Normal	0.0891	Normal	
Local Zebu	41	Male	263.7	252.9	104.3	Normal	0.0965	Normal	
Sindhi Cross	72	Female	440.3	457.2	96.3	Normal	-0.0035	Flagged - Potential Sickness	
Pabna	16	Female	107.3	115.2	93.1	Normal	0.1055	Normal	
Brahman Cross	56	Male	474	466.6	101.6	Normal	0.0051	Normal	
Pabna	22	Male	142.7	161	88.6	Normal	0.0598	Normal	
Red Chittagong	56	Female	293.5	282.8	103.8	Normal	0.1114	Normal	
Red Chittagong	40	Male	227.4	231	98.4	Normal	0.0755	Normal	
Local Zebu	19	Male	129.3	134.9	95.8	Normal	0.0794	Normal	
Pabna	58	Male	377.6	367	102.9	Normal	0.0632	Normal	
Sahiwal	63	Male	476.4	469.7	101.4	Normal	0.0124	Normal	
Local Zebu	26	Female	151.3	156.8	96.5	Normal	0.1414	Normal	
Sahiwal	11	Male	133.9	116.5	114.9	Normal	0.0261	Normal	
Local Zebu	37	Female	194.2	210.4	92.3	Normal	0.1364	Normal	
Local Zebu	44	Male	278.2	269	103.4	Normal	0.1006	Normal	
Local Zebu	57	Female	316.8	307.9	102.9	Normal	0.1363	Normal	
Brahman Cross	18	Female	160.2	164.8	97.2	Normal	0.0667	Normal	
Local Zebu	7	Male	75.4	70.5	107	Normal	0.0216	Normal	
Local Zebu	31	Female	162.4	181.1	89.7	Normal	0.1363	Normal	
Brahman Cross	16	Female	165.1	151.2	109.2	Normal	0.0652	Normal	
Holstein Cross	8	Female	103	105.8	97.4	Normal	0.0558	Normal	
Brahman Cross	22	Male	203.5	211.4	96.3	Normal	0.0296	Normal	
Holstein Cross	21	Male	239	223.3	107	Normal	0.0374	Normal	
Local Zebu	61	Female	316.8	327.4	96.8	Normal	0.1276	Normal	
Local Zebu	60	Male	333.6	354.8	94	Normal	0.0751	Normal	
Local Zebu	41	Female	206.5	229.9	89.8	Normal	0.1344	Normal	
Brahman Cross	37	Female	303.6	294.5	103.1	Normal	0.0642	Normal	
Sindhi Cross	67	Male	451.5	470.7	95.9	Normal	-0.0199	Flagged - Potential Sickness	
Local Zebu	31	Female	207.4	181.1	114.5	Normal	0.1434	Normal	
Local Zebu	8	Female	37.8	69	54.8	Underweight	0.0295	Normal	
Red Chittagong	68	Male	396.6	371.1	106.9	Normal	0.0261	Normal	
Red Chittagong	40	Male	234.2	231	101.4	Normal	0.0754	Normal	
Local Zebu	41	Male	251.4	252.9	99.4	Normal	0.0948	Normal	
Pabna	35	Female	205.8	214	96.2	Normal	0.1251	Normal	
Brahman Cross	40	Female	321	315	101.9	Normal	0.067	Normal	
Sahiwal	34	Female	247.4	248	99.8	Normal	0.1029	Normal	
Red Chittagong	28	Male	187.5	170.9	109.7	Normal	0.0695	Normal	
Holstein Cross	51	Female	659.2	427.2	154.3	Overweight	-0.0354	Flagged - Possible Pregnancy or Overweight	
Brahman Cross	30	Female	249	246.8	100.9	Normal	0.0787	Normal	
Sindhi Cross	45	Male	196.9	329.2	59.8	Underweight	-0.0054	Flagged - Potential Sickness	
Local Zebu	67	Male	391.4	392.3	99.8	Normal	0.0495	Normal	
Local Zebu	22	Male	155.6	151	103	Normal	0.0893	Normal	
Holstein Cross	47	Male	411.4	437.1	94.1	Normal	0.034	Normal	
Sahiwal	24	Female	166	186.2	89.2	Normal	0.1025	Normal	
Holstein Cross	15	Female	169.3	158.1	107.1	Normal	0.0787	Normal	
Red Chittagong	18	Male	123.5	120.9	102.2	Normal	0.0559	Normal	
Sindhi Cross	61	Female	390.1	392.8	99.3	Normal	0.0534	Normal	
